Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	9
51	27
52	25
53	20
54	30
55	25
56	26
57	33
58	25
59	27
60	29
61	27
62	29
63	37
64	21
65	38
66	26
67	34
68	29
69	27
70	32
71	33
72	18
73	41
74	21
75	36
76	30
77	32
78	29
79	43
80	19
81	26
82	30
83	28
84	30
85	26
86	17
87	30
88	14
89	35
90	28
91	29
92	25
93	16
94	29
95	35
96	18
97	33
98	29
99	25
100	32
101	25
102	38
103	26
104	17
105	28
106	33
107	22
108	25
109	21
110	22
111	36
112	27
113	32
114	21
115	32
116	21
117	26
118	34
119	40
120	25
121	42
122	23
123	26
124	27
125	34
126	36
127	51
128	15
129	29
130	38
131	36
132	30
133	22
134	25
135	31
136	29
137	35
138	19
139	27
140	17
141	29
142	29
143	33
144	26
145	17
146	31
147	33
148	25
149	26
150	31
151	33
152	17
153	28
154	24
155	40
156	26
157	33
158	35
159	34
160	31
161	33
162	24
163	26
164	31
165	33
166	41
167	38
168	33
169	34
170	19
171	37
172	34
173	42
174	31
175	21
176	30
177	25
178	39
179	41
180	33
181	34
182	28
183	30
184	31
185	31
186	21
187	27
188	26
189	31
190	29
191	55
192	23
193	29
194	36
195	31
196	43
197	25
198	35
199	34
200	25
201	32
202	27
203	30
204	33
205	28
206	41
207	31
208	33
209	40
210	36
211	45
212	26
213	24
214	41
215	38
216	29
217	24
218	30
219	30
220	28
221	32
222	32
223	44
224	25
225	22
226	38
227	35
228	34
229	28
230	34
231	42
232	22
233	49
234	28
235	30
236	33
237	40
238	26
239	32
240	29
241	35
242	36
243	42
244	52
245	32
246	40
247	42
248	34
249	47
250	37
251	49
252	31
253	33
254	42
255	62
256	23
257	33
258	35
259	37
260	40
261	33
262	49
263	42
264	45
265	41
266	30
267	41
268	34
269	35
270	47
271	52
272	34
273	36
274	38
275	34
276	28
277	31
278	35
279	36
280	30
281	32
282	38
283	36
284	26
285	40
286	29
287	37
288	32
289	37
290	26
291	34
292	36
293	29
294	37
295	23
296	25
297	27
298	25
299	20
300	31
301	33
302	30
303	43
304	29
305	29
306	24
307	40
308	33
309	34
310	40
311	32
312	32
313	41
314	26
315	42
316	30
317	23
318	26
319	49
320	29
321	26
322	31
323	36
324	39
325	24
326	39
327	30
328	29
329	21
330	34
331	39
332	48
333	38
334	37
335	48
336	18
337	29
338	40
339	45
340	45
341	41
342	36
343	34
344	34
345	36
346	37
347	29
348	29
349	29
350	32
351	43
352	30
353	38
354	27
355	37
356	37
357	36
358	35
359	31
360	41
361	42
362	29
363	28
364	46
365	41
366	38
367	42
368	34
369	43
370	47
371	46
372	41
373	32
374	29
375	40
376	32
377	46
378	39
379	46
380	43
381	51
382	43
383	56
384	32
385	45
386	49
387	52
388	37
389	53
390	49
391	50
392	42
393	65
394	41
395	39
396	53
397	64
398	57
399	54
400	65
401	54
402	54
403	56
404	61
405	60
406	65
407	64
408	78
409	73
410	70
411	83
412	78
413	82
414	86
415	106
416	63
417	80
418	89
419	85
420	93
421	81
422	118
423	110
424	74
425	121
426	102
427	104
428	103
429	132
430	127
431	119
432	96
433	121
434	132
435	129
436	145
437	119
438	131
439	137
440	97
441	114
442	117
443	132
444	116
445	100
446	96
447	134
448	71
449	114
450	110
451	90
452	113
453	82
454	87
455	90
456	80
457	106
458	74
459	82
460	85
461	73
462	80
463	60
464	47
465	79
466	81
467	71
468	67
469	57
470	78
471	64
472	63
473	68
474	53
475	68
476	49
477	79
478	70
479	84
480	49
481	72
482	75
483	62
484	84
485	73
486	68
487	76
488	55
489	65
490	64
491	56
492	74
493	88
494	78
495	76
496	86
497	86
498	54
499	81
500	93
501	73
502	89
503	58
504	66
505	90
506	65
507	70
508	65
509	63
510	71
511	90
512	40
513	72
514	66
515	57
516	69
517	58
518	63
519	47
520	58
521	64
522	58
523	50
524	49
525	49
526	52
527	61
528	50
529	51
530	61
531	64
532	46
533	49
534	51
535	47
536	47
537	58
538	42
539	44
540	35
541	38
542	44
543	64
544	35
545	46
546	45
547	60
548	45
549	29
550	45
551	55
552	37
553	49
554	36
555	42
556	54
557	53
558	39
559	46
560	49
561	53
562	55
563	48
564	57
565	56
566	51
567	63
568	34
569	63
570	36
571	46
572	43
573	47
574	39
575	64
576	36
577	37
578	58
579	56
580	61
581	44
582	55
583	40
584	45
585	50
586	43
587	53
588	67
589	57
590	45
591	56
592	42
593	42
594	51
595	56
596	50
597	40
598	63
599	51
600	54
601	51
602	40
603	53
604	44
605	58
606	47
607	68
608	35
609	39
610	41
611	47
612	58
613	46
614	44
615	43
616	30
617	65
618	43
619	40
620	56
621	57
622	55
623	47
624	45
625	45
626	53
627	37
628	38
629	49
630	64
631	56
632	51
633	47
634	47
635	71
636	43
637	50
638	51
639	86
640	37
641	50
642	62
643	49
644	67
645	43
646	57
647	48
648	52
649	56
650	38
651	55
652	58
653	55
654	42
655	48
656	56
657	54
658	64
659	57
660	46
661	46
662	58
663	46
664	37
665	62
666	35
667	65
668	47
669	47
670	49
671	59
672	46
673	49
674	66
675	52
676	60
677	45
678	55
679	49
680	43
681	64
682	49
683	50
684	69
685	58
686	47
687	66
688	31
689	80
690	57
691	54
692	54
693	51
694	56
695	48
696	46
697	66
698	53
699	64
700	59
701	72
702	48
703	70
704	54
705	52
706	54
707	45
708	47
709	42
710	74
711	60
712	51
713	53
714	57
715	53
716	66
717	52
718	61
719	51
720	55
721	62
722	59
723	51
724	55
725	42
726	74
727	52
728	48
729	67
730	55
731	59
732	69
733	52
734	49
735	87
736	47
737	52
738	69
739	59
740	46
741	51
742	74
743	52
744	54
745	79
746	50
747	48
748	52
749	66
750	58
751	56
752	46
753	56
754	54
755	74
756	56
757	45
758	62
759	49
760	50
761	90
762	55
763	44
764	66
765	57
766	65
767	83
768	33
769	62
770	57
771	51
772	56
773	43
774	71
775	66
776	33
777	56
778	44
779	56
780	48
781	63
782	44
783	59
784	41
785	57
786	60
787	70
788	56
789	60
790	65
791	51
792	59
793	68
794	29
795	50
796	45
797	59
798	68
799	58
800	53
801	48
802	55
803	51
804	65
805	37
806	68
807	40
808	49
809	52
810	45
811	53
812	63
813	58
814	47
815	46
816	36
817	60
818	53
819	49
820	47
821	53
822	62
823	57
824	35
825	62
826	54
827	61
828	47
829	46
830	45
831	76
832	37
833	56
834	53
835	43
836	58
837	40
838	63
839	38
840	43
841	58
842	42
843	43
844	67
845	51
846	45
847	52
848	35
849	62
850	38
851	45
852	47
853	44
854	49
855	44
856	54
857	60
858	49
859	61
860	41
861	63
862	48
863	59
864	53
865	55
866	45
867	47
868	66
869	46
870	64
871	58
872	46
873	52
874	45
875	48
876	66
877	37
878	43
879	57
880	29
881	56
882	43
883	64
884	54
885	45
886	50
887	53
888	43
889	49
890	41
891	55
892	42
893	48
894	51
895	66
896	42
897	56
898	38
899	52
900	66
901	40
902	55
903	45
904	55
905	60
906	49
907	49
908	51
909	62
910	49
911	42
912	54
913	42
914	45
915	54
916	40
917	52
918	69
919	32
920	59
921	67
922	43
923	55
924	51
925	56
926	52
927	62
928	34
929	44
930	44
931	30
932	74
933	39
934	54
935	42
936	43
937	52
938	46
939	45
940	45
941	48
942	44
943	60
944	55
945	53
946	48
947	53
948	51
949	43
950	52
951	43
952	44
953	55
954	48
955	48
956	48
957	46
958	55
959	65
960	28
961	49
962	62
963	39
964	45
965	45
966	52
967	45
968	53
969	48
970	47
971	45
972	51
973	52
974	54
975	46
976	41
977	40
978	42
979	49
980	40
981	49
982	59
983	32
984	55
985	47
986	50
987	54
988	55
989	49
990	38
991	52
992	50
993	54
994	39
995	41
996	52
997	46
998	52
999	44
1000	50
1001	49
1002	35
1003	41
1004	46
1005	46
1006	43
1007	33
1008	44
1009	47
1010	51
1011	48
1012	45
1013	31
1014	55
1015	46
1016	60
1017	71
1018	38
1019	63
1020	51
1021	60
1022	58
1023	69
1024	27
1025	68
1026	43
1027	47
1028	58
1029	46
1030	58
1031	55
1032	53
1033	49
1034	31
1035	57
1036	54
1037	50
1038	53
1039	55
1040	33
1041	46
1042	43
1043	65
1044	42
1045	49
1046	53
1047	49
1048	50
1049	58
1050	35
1051	52
1052	40
1053	49
1054	53
1055	59
1056	41
1057	59
1058	48
1059	44
1060	55
1061	41
1062	47
1063	53
1064	45
1065	43
1066	49
1067	41
1068	56
1069	53
1070	55
1071	43
1072	37
1073	61
1074	57
1075	53
1076	41
1077	45
1078	50
1079	45
1080	39
1081	51
1082	41
1083	60
1084	35
1085	50
1086	41
1087	74
1088	35
1089	43
1090	45
1091	55
1092	60
1093	49
1094	59
1095	39
1096	34
1097	62
1098	51
1099	49
1100	52
1101	43
1102	38
1103	49
1104	31
1105	39
1106	39
1107	70
1108	49
1109	43
1110	49
1111	41
1112	43
1113	50
1114	55
1115	54
1116	34
1117	47
1118	44
1119	48
1120	32
1121	35
1122	47
1123	62
1124	48
1125	40
1126	58
1127	37
1128	36
1129	45
1130	48
1131	33
1132	52
1133	46
1134	40
1135	50
1136	33
1137	39
1138	48
1139	48
1140	64
1141	34
1142	54
1143	57
1144	26
1145	53
1146	32
1147	51
1148	41
1149	51
1150	54
1151	59
1152	34
1153	44
1154	44
1155	43
1156	47
1157	32
1158	36
1159	43
1160	39
1161	43
1162	37
1163	51
1164	53
1165	49
1166	38
1167	46
1168	43
1169	39
1170	44
1171	58
1172	44
1173	37
1174	48
1175	36
1176	40
1177	51
1178	36
1179	50
1180	45
1181	54
1182	44
1183	52
1184	40
1185	40
1186	43
1187	46
1188	42
1189	33
1190	62
1191	61
1192	33
1193	58
1194	47
1195	43
1196	40
1197	39
1198	36
1199	34
1200	32
1201	42
1202	43
1203	45
1204	44
1205	46
1206	45
1207	55
1208	36
1209	51
1210	37
1211	48
1212	29
1213	36
1214	46
1215	44
1216	35
1217	42
1218	49
1219	46
1220	45
1221	40
1222	68
1223	37
1224	38
1225	41
1226	34
1227	43
1228	53
1229	38
1230	42
1231	37
1232	33
1233	31
1234	35
1235	49
1236	47
1237	36
1238	40
1239	36
1240	30
1241	52
1242	29
1243	48
1244	37
1245	45
1246	40
1247	59
1248	29
1249	39
1250	34
1251	36
1252	48
1253	53
1254	43
1255	38
1256	31
1257	53
1258	39
1259	40
1260	49
1261	38
1262	40
1263	33
1264	36
1265	47
1266	48
1267	51
1268	37
1269	29
1270	43
1271	44
1272	32
1273	39
1274	33
1275	52
1276	36
1277	39
1278	37
1279	59
1280	23
1281	41
1282	31
1283	39
1284	30
1285	23
1286	50
1287	33
1288	37
1289	44
1290	38
1291	39
1292	46
1293	41
1294	42
1295	39
1296	31
1297	34
1298	34
1299	35
1300	47
1301	32
1302	37
1303	38
1304	38
1305	42
1306	43
1307	44
1308	32
1309	41
1310	50
1311	41
1312	36
1313	37
1314	40
1315	27
1316	39
1317	39
1318	49
1319	40
1320	35
1321	50
1322	37
1323	41
1324	36
1325	37
1326	33
1327	23
1328	42
1329	49
1330	43
1331	43
1332	32
1333	33
1334	36
1335	37
1336	19
1337	48
1338	30
1339	42
1340	37
1341	39
1342	38
1343	51
1344	30
1345	38
1346	33
1347	25
1348	42
1349	34
1350	37
1351	27
1352	30
1353	39
1354	24
1355	36
1356	35
1357	28
1358	38
1359	35
1360	29
1361	31
1362	45
1363	38
1364	42
1365	32
1366	45
1367	24
1368	24
1369	34
1370	35
1371	34
1372	28
1373	41
1374	42
1375	36
1376	29
1377	55
1378	24
1379	38
1380	45
1381	28
1382	34
1383	20
1384	24
1385	30
1386	34
1387	42
1388	31
1389	23
1390	34
1391	23
1392	28
1393	25
1394	38
1395	37
1396	26
1397	28
1398	38
1399	27
1400	26
1401	32
1402	31
1403	31
1404	34
1405	21
1406	31
1407	29
1408	32
1409	31
1410	42
1411	34
1412	48
1413	32
1414	41
1415	30
1416	43
1417	46
1418	34
1419	33
1420	25
1421	31
1422	26
1423	27
1424	31
1425	25
1426	34
1427	41
1428	31
1429	24
1430	40
1431	20
1432	31
1433	31
1434	28
1435	35
1436	43
1437	38
1438	27
1439	42
1440	28
1441	35
1442	28
1443	34
1444	38
1445	26
1446	39
1447	46
1448	28
1449	36
1450	24
1451	28
1452	33
1453	29
1454	37
1455	15
1456	22
1457	40
1458	33
1459	45
1460	27
1461	30
1462	35
1463	30
1464	25
1465	36
1466	27
1467	35
1468	42
1469	34
1470	26
1471	32
1472	22
1473	41
1474	31
1475	25
1476	40
1477	11
1478	38
1479	27
1480	37
1481	42
1482	32
1483	30
1484	26
1485	30
1486	32
1487	33
1488	31
1489	26
1490	25
1491	31
1492	36
1493	26
1494	52
1495	21
1496	30
1497	30
1498	27
1499	40
1500	22
1501	33
1502	29
1503	39
1504	28
1505	30
1506	34
1507	29
1508	40
1509	28
1510	37
1511	33
1512	25
1513	32
1514	29
1515	25
1516	36
1517	31
1518	28
1519	33
1520	35
1521	37
1522	25
1523	30
1524	28
1525	21
1526	33
1527	27
1528	25
1529	32
1530	16
1531	29
1532	42
1533	26
1534	30
1535	31
1536	26
1537	39
1538	29
1539	28
1540	35
1541	27
1542	19
1543	26
1544	19
1545	30
1546	27
1547	39
1548	32
1549	30
1550	31
1551	29
1552	26
1553	38
1554	33
1555	47
1556	38
1557	20
1558	32
1559	21
1560	29
1561	38
1562	31
1563	27
1564	32
1565	33
1566	29
1567	32
1568	25
1569	27
1570	28
1571	31
1572	32
1573	30
1574	25
1575	30
1576	27
1577	37
1578	24
1579	26
1580	33
1581	21
1582	29
1583	22
1584	23
1585	20
1586	35
1587	33
1588	23
1589	35
1590	32
1591	36
1592	26
1593	24
1594	27
1595	31
1596	36
1597	23
1598	26
1599	35
1600	37
1601	34
1602	32
1603	29
1604	38
1605	21
1606	31
1607	34
1608	28
1609	39
1610	21
1611	28
1612	35
1613	24
1614	23
1615	39
1616	26
1617	29
1618	26
1619	36
1620	28
1621	21
1622	34
1623	25
1624	28
1625	34
1626	29
1627	34
1628	20
1629	32
1630	22
1631	40
1632	30
1633	29
1634	33
1635	29
1636	43
1637	29
1638	23
1639	26
1640	24
1641	32
1642	23
1643	28
1644	36
1645	24
1646	24
1647	26
1648	23
1649	34
1650	31
1651	32
1652	25
1653	23
1654	35
1655	26
1656	26
1657	34
1658	17
1659	35
1660	30
1661	26
1662	32
1663	29
1664	27
1665	31
1666	28
1667	19
1668	47
1669	33
1670	42
1671	23
1672	29
1673	39
1674	35
1675	27
1676	37
1677	27
1678	23
1679	26
1680	21
1681	35
1682	38
1683	34
1684	28
1685	23
1686	31
1687	32
1688	28
1689	30
1690	32
1691	21
1692	32
1693	39
1694	31
1695	42
1696	28
1697	30
1698	30
1699	25
1700	29
1701	21
1702	37
1703	23
1704	19
1705	29
1706	22
1707	25
1708	31
1709	27
1710	28
1711	23
1712	33
1713	28
1714	29
1715	34
1716	32
1717	24
1718	34
1719	21
1720	28
1721	26
1722	28
1723	30
1724	31
1725	32
1726	38
1727	32
1728	30
1729	35
1730	32
1731	25
1732	30
1733	25
1734	34
1735	23
1736	29
1737	36
1738	31
1739	29
1740	21
1741	22
1742	19
1743	18
1744	36
1745	31
1746	17
1747	41
1748	29
1749	24
1750	37
1751	25
1752	31
1753	24
1754	22
1755	27
1756	33
1757	23
1758	28
1759	25
1760	25
1761	35
1762	25
1763	23
1764	36
1765	24
1766	36
1767	20
1768	12
1769	33
1770	22
1771	20
1772	36
1773	29
1774	27
1775	25
1776	25
1777	26
1778	21
1779	35
1780	29
1781	28
1782	32
1783	16
1784	29
1785	29
1786	25
1787	28
1788	33
1789	20
1790	27
1791	34
1792	22
1793	24
1794	30
1795	33
1796	38
1797	20
1798	32
1799	25
1800	27
1801	32
1802	21
1803	27
1804	25
1805	21
1806	35
1807	22
1808	38
1809	22
1810	28
1811	27
1812	30
1813	18
1814	27
1815	24
1816	27
1817	28
1818	34
1819	29
1820	31
1821	24
1822	26
1823	28
1824	32
1825	34
1826	26
1827	23
1828	26
1829	20
1830	37
1831	30
1832	28
1833	37
1834	28
1835	31
1836	37
1837	28
1838	23
1839	23
1840	39
1841	36
1842	29
1843	40
1844	31
1845	23
1846	32
1847	30
1848	20
1849	19
1850	32
1851	33
1852	30
1853	27
1854	24
1855	35
1856	28
1857	31
1858	33
1859	26
1860	37
1861	25
1862	30
1863	24
1864	40
1865	24
1866	23
1867	32
1868	34
1869	26
1870	28
1871	33
1872	16
1873	25
1874	31
1875	21
1876	25
1877	19
1878	23
1879	24
1880	24
1881	29
1882	23
1883	33
1884	26
1885	24
1886	29
1887	22
1888	29
1889	21
1890	32
1891	26
1892	32
1893	21
1894	34
1895	20
1896	26
1897	34
1898	36
1899	26
1900	28
1901	21
1902	31
1903	26
1904	34
1905	22
1906	31
1907	37
1908	25
1909	22
1910	33
1911	26
1912	24
1913	34
1914	24
1915	26
1916	31
1917	28
1918	26
1919	32
1920	29
1921	36
1922	37
1923	18
1924	31
1925	24
1926	32
1927	18
1928	21
1929	33
1930	23
1931	27
1932	31
1933	30
1934	23
1935	25
1936	22
1937	29
1938	25
1939	26
1940	22
1941	17
1942	41
1943	15
1944	36
1945	28
1946	23
1947	27
1948	31
1949	33
1950	28
1951	39
1952	21
1953	18
1954	18
1955	25
1956	33
1957	25
1958	34
1959	27
1960	26
1961	33
1962	22
1963	25
1964	31
1965	29
1966	34
1967	18
1968	33
1969	28
1970	35
1971	30
1972	40
1973	21
1974	37
1975	19
1976	21
1977	31
1978	24
1979	32
1980	35
1981	29
1982	22
1983	30
1984	26
1985	35
1986	28
1987	23
1988	38
1989	22
1990	36
1991	16
1992	29
1993	39
1994	25
1995	23
1996	37
1997	23
1998	31
1999	19
2000	24
2001	25
2002	21
2003	27
2004	23
2005	26
2006	29
2007	24
2008	22
2009	17
2010	16
2011	37
2012	21
2013	28
2014	28
2015	23
2016	25
2017	32
2018	29
2019	28
2020	32
